state,x,y
Andhra Pradesh, -79.0, -143.0
Arunachal Pradesh, 231.0, 161.0
Assam, 198.0, 115.0
Bihar, 65.0, 89.0
Chhattisgarh, -14.0, -1.0
Goa, -175.0, -139.0
Gujarat, -222.0, 33.0
Haryana, -119.0, 169.0
Himachal Pradesh, -109.0, 228.0
Jharkhand, 51.0, 43.0
Karnataka, -137.0, -155.0
Kerala, -127.0, -246.0
Madhya Pradesh, -78.0, 38.0
Maharashtra, -150.0, -49.0
Manipur, 228.0, 83.0
Meghalaya, 171.0, 96.0
Mizoram, 211.0, 50.0
Nagaland, 237.0, 111.0
Odisha, 39.0, -23.0
Punjab, -142.0, 203.0
Rajasthan, -177.0, 109.0
Sikkim, 115.0, 138.0
Tamil Nadu, -86.0, -242.0
Telangana, -82.0, -80.0
Tripura, 184.0, 52.0
Uttar Pradesh, -46.0, 119.0
Uttarakhand,-70.0, 191.0
West Bengal,106.0, 36.0
